RowIndex,ReportingUnit,ReportingUnitName,DAUNumber,CoNumber,Name_ID,DAUName,CoName
143,DAU22310,DAU22310,223,10,DAU22310 : Kings-Kaweah Interstream - Fresno,Kings-Kaweah Interstream,Fresno
147,DAU35113,DAU35113,351,13,DAU35113 : West Salton Sea - Imperial,West Salton Sea,Imperial
148,DAU25754,DAU25754,257,54,DAU25754 : Northeastern Kern - Tulare,Northeastern Kern,Tulare
151,DAU30719,DAU30719,307,19,DAU30719 : Pearblossom - Los Angeles,Pearblossom,Los Angeles
152,DAU01823,DAU01823,18,23,DAU01823 : Navarro-Garcia - Mendocino,Navarro-Garcia,Mendocino
153,DAU21824,DAU21824,218,24,DAU21824 : Orestimba Creek - Merced,Orestimba Creek,Merced
155,DAU15803,DAU15803,158,3,DAU15803 : American River - Amador,American River,Amador
157,DAU19922,DAU19922,199,22,DAU19922 : Chowchilla-Fresno Interstream - Mariposa,Chowchilla-Fresno Interstream,Mariposa
160,DAU24254,DAU24254,242,54,DAU24254 : Kaweah Delta - Tulare,Kaweah Delta,Tulare
161,DAU07142,DAU07142,71,42,DAU07142 : Santa Maria Valley-SB - Santa Barbara,Santa Maria Valley-SB,Santa Barbara
165,DAU19148,DAU19148,191,48,DAU19148 : Vacaville - Solano,Vacaville,Solano
166,DAU29936,DAU29936,299,36,DAU29936 : Searles - San Bernardino,Searles,San Bernardino
168,DAU28214,DAU28214,282,14,DAU28214 : Eureka - Inyo,Eureka,Inyo
171,DAU21650,DAU21650,216,50,DAU21650 : West Side - Stanislaus,West Side,Stanislaus
175,DAU18634,DAU18634,186,34,DAU18634 : Sacramento Delta - Sacramento,Sacramento Delta,Sacramento
176,DAU08156,DAU08156,81,56,DAU08156 : Ventura County - Ventura,Ventura County,Ventura
178,DAU02553,DAU02553,25,53,DAU02553 : Upper Eel - Trinity,Upper Eel,Trinity
179,DAU16706,DAU16706,167,6,DAU16706 : Butte City - Colusa,Butte City,Colusa
180,DAU33433,DAU33433,334,33,DAU33433 : Ford - Riverside,Ford,Riverside
181,DAU29336,DAU29336,293,36,DAU29336 : Leach - San Bernardino,Leach,San Bernardino
182,DAU17406,DAU17406,174,6,DAU17406 : Cache Creek - Colusa,Cache Creek,Colusa
184,DAU05027,DAU05027,50,27,DAU05027 : Forebay - Monterey,Forebay,Monterey
185,DAU20639,DAU20639,206,39,DAU20639 : Modesto-Oakdale - San Joaquin,Modesto-Oakdale,San Joaquin
186,DAU16058,DAU16058,160,58,DAU16058 : Yuba Foothill - Yuba,Yuba Foothill,Yuba
187,DAU33133,DAU33133,331,33,DAU33133 : Cadiz - Riverside,Cadiz,Riverside
191,DAU31836,DAU31836,318,36,DAU31836 : Broadwell - San Bernardino,Broadwell,San Bernardino
192,DAU01723,DAU01723,17,23,DAU01723 : Big-Noyo-Ten Mile - Mendocino,Big-Noyo-Ten Mile,Mendocino
193,DAU06740,DAU06740,67,40,DAU06740 : San Luis Obispo - San Luis Obispo,San Luis Obispo,San Luis Obispo
